CODICE,DESCRIZIONE
Y50.9,STIMOLANTI DEL SISTEMA NERVOSO CENTRALE NON CLASSIFICATI ALTROVE - STIMOLANTE DEL SISTEMA NERVOSO CENTRALE NON SPECIFICATO
Y51.0,FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA NERVOSO AUTONOMO - AGENTI ANTICOLINESTERASICI
Y51.1,FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA NERVOSO AUTONOMO - ALTRI PARASIMPATICOMIMETICI (COLINERGICI)
Y51.2,"FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA NERVOSO AUTONOMO - FARMACI GANGLIOPLEGICI, NON CLASSIFICATI ALTROVE"
Y51.3,"FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA NERVOSO AUTONOMO - ALTRI PARASIMPATICOLITICI (ANTICOLINERGICI ED ANTIMUSCARINICI) E SPASMOLITICI, NON CLASSIFICATI ALTROVE"
Y51.4,"FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA NERVOSO AUTONOMO - AGONISTI PREVALENTEMENTE ALFA ADRENERGICI, NON CLASSIFICATI ALTROVE"
Y51.5,"FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA NERVOSO AUTONOMO - AGONISTI PREVALENTEMENTE BETA ADRENERGICI, NON CLASSIFICATI ALTROVE"
Y51.6,"FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA NERVOSO AUTONOMO - ANTAGONISTI ALFA ADRENERGICI, NON CLASSIFICATI ALTROVE"
Y51.7,"FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA NERVOSO AUTONOMO - ANTAGONISTI BETA ADRENERGICI, NON CLASSIFICATI ALTROVE"
Y51.8,"FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA NERVOSO AUTONOMO - SOSTANZE AGENTI CENTRALMENTE E BLOCCANTI DEL NEURONE ADRENERGICO, NON CLASSIFICATI ALTROVE"
Y51.9,FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA NERVOSO AUTONOMO - ALTRI E NON SPECIFICATI FARMACI INTERESSANTI PRINCIPALMENTE IL SISTEMA NERVOSO AUTONOMO
Y52.0,AGENTI ATTIVI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE - GLICOSIDI CARDIOSTIMOLANTI E FARMACI SIMILARI
Y52.1,AGENTI ATTIVI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE - BLOCCANTI DEL CANALE DEL CALCIO
Y52.2,"AGENTI ATTIVI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE - ALTRI FARMACI ANTIARITMICI, NON CLASSIFICATI ALTROVE"
Y52.3,"AGENTI ATTIVI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE - VASODILATATORI CORONARICI, NON CLASSIFICATI ALTROVE"
Y52.4,AGENTI ATTIVI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE - INIBITORI DELL'ENZIMA DI CONVERSIONE DELL'ANGIOTENSINA
Y52.5,"AGENTI ATTIVI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE - ALTRI FARMACI ANTIIPERTENSIVI, NON CLASSIFICATI ALTROVE"
Y52.6,AGENTI ATTIVI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE - FARMACI ANTIIPERLIPIDEMICI E ANTIARTERIOSCLEROTICI
Y52.7,AGENTI ATTIVI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE - VASODILATATORI PERIFERICI
Y52.8,"AGENTI ATTIVI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE - FARMACI ANTIVARICOSI, COMPRESE LE SOSTANZE SCLEROSANTI"
Y52.9,AGENTI ATTIVI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE - ALTRI E NON SPECIFICATI FARMACI AGENTI PRINCIPALMENTE SUL SISTEMA CARDIOVASCOLARE
Y53.0,AGENTI ATTIVI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE - ANTAGONISTI DEI RECETTORI ISTAMINICI H2
Y53.1,AGENTI ATTIVI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE - ALTRI FARMACI ANTIACIDI E INIBITORI DELLA SECREZIONE GASTRICA
Y53.2,AGENTI ATTIVI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE - LASSATIVI IRRITANTI
Y53.3,AGENTI ATTIVI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE - LASSATIVI SALINI ED OSMOTICI
Y53.4,AGENTI ATTIVI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE - ALTRI LASSATIVI
Y53.5,AGENTI ATTIVI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE - DIGESTIVI
Y53.6,AGENTI ATTIVI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE - FARMACI ANTIDIARROICI
Y53.7,AGENTI ATTIVI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE - EMETICI
Y53.8,AGENTI ATTIVI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE - ALTRI AGENTI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE
Y53.9,"AGENTI ATTIVI PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE - AGENTE PRINCIPALMENTE SULL'APPARATO GASTROINTESTINALE, NON SPECIFICATO"
Y54.0,"AGENTI ATTIVI PRINCIPALMENTE SULL’EQUILIBRIO IDRICO, SUL METABOLISMO DEI MINERALI E DELL'ACIDO URICO - MINERALCORTICOIDI"
Y54.1,"AGENTI ATTIVI PRINCIPALMENTE SULL’EQUILIBRIO IDRICO, SUL METABOLISMO DEI MINERALI E DELL'ACIDO URICO - ANTAGONISTI DEI MINERALCORTICOIDI (ANTAGONISTI DELL'ALDOSTERONE)"
Y54.2,"AGENTI ATTIVI PRINCIPALMENTE SULL’EQUILIBRIO IDRICO, SUL METABOLISMO DEI MINERALI E DELL'ACIDO URICO - INIBITORI DELL'ANIDRASI CARBONICA"
Y54.3,"AGENTI ATTIVI PRINCIPALMENTE SULL’EQUILIBRIO IDRICO, SUL METABOLISMO DEI MINERALI E DELL'ACIDO URICO - DERIVATI BENZOTIAZIDICI"
Y54.4,"AGENTI ATTIVI PRINCIPALMENTE SULL’EQUILIBRIO IDRICO, SUL METABOLISMO DEI MINERALI E DELL'ACIDO URICO - DIURETICI DELL'ANSA (DRASTICI)"
Y54.5,"AGENTI ATTIVI PRINCIPALMENTE SULL’EQUILIBRIO IDRICO, SUL METABOLISMO DEI MINERALI E DELL'ACIDO URICO - ALTRI DIURETICI"
Y54.6,"AGENTI ATTIVI PRINCIPALMENTE SULL’EQUILIBRIO IDRICO, SUL METABOLISMO DEI MINERALI E DELL'ACIDO URICO - SOSTANZE ELETTROLITICHE, CALORICHE E ATTIVE SUL BILANCIO IDRICO"
Y54.7,"AGENTI ATTIVI PRINCIPALMENTE SULL’EQUILIBRIO IDRICO, SUL METABOLISMO DEI MINERALI E DELL'ACIDO URICO - SOSTANZE ATTIVE SULLA CALCIFICAZIONE"
Y54.8,"AGENTI ATTIVI PRINCIPALMENTE SULL’EQUILIBRIO IDRICO, SUL METABOLISMO DEI MINERALI E DELL'ACIDO URICO - AGENTI INTERESSANTI IL METABOLISMO DELL'ACIDO URICO"
Y54.9,"AGENTI ATTIVI PRINCIPALMENTE SULL’EQUILIBRIO IDRICO, SUL METABOLISMO DEI MINERALI E DELL'ACIDO URICO - SALI MINERALI, NON CLASSIFICATI ALTROVE"
Y55.0,AGENTI ATTIVI PRINCIPALMENTE SULLA MUSCOLATURA LISCIA E STRIATA E SULL'APPARATO RESPIRATORIO - FARMACI OSSITOCICI
Y55.1,AGENTI ATTIVI PRINCIPALMENTE SULLA MUSCOLATURA LISCIA E STRIATA E SULL'APPARATO RESPIRATORIO - RILASSANTI DELLA MUSCOLATURA STRIATA (FARMACI BLOCCANTI NEUROMUSCOLARI)
Y55.2,AGENTI ATTIVI PRINCIPALMENTE SULLA MUSCOLATURA LISCIA E STRIATA E SULL'APPARATO RESPIRATORIO - ALTRI E NON SPECIFICATI AGENTI ATTIVI PRINCIPALMENTE SUI MUSCOLI
Y55.3,AGENTI ATTIVI PRINCIPALMENTE SULLA MUSCOLATURA LISCIA E STRIATA E SULL'APPARATO RESPIRATORIO - ANTITOSSE
Y55.4,AGENTI ATTIVI PRINCIPALMENTE SULLA MUSCOLATURA LISCIA E STRIATA E SULL'APPARATO RESPIRATORIO - ESPETTORANTI
Y55.5,AGENTI ATTIVI PRINCIPALMENTE SULLA MUSCOLATURA LISCIA E STRIATA E SULL'APPARATO RESPIRATORIO - FARMACI CONTRO IL RAFFREDDORE COMUNE
Y55.6,"AGENTI ATTIVI PRINCIPALMENTE SULLA MUSCOLATURA LISCIA E STRIATA E SULL'APPARATO RESPIRATORIO - ANTIASMATICI, NON CLASSIFICATI ALTROVE"
Y55.7,AGENTI ATTIVI PRINCIPALMENTE SULLA MUSCOLATURA LISCIA E STRIATA E SULL'APPARATO RESPIRATORIO - ALTRI E NON SPECIFICATI FARMACI AGENTI PRINCIPALMENTE SULL'APPARATO RESPIRATORIO
Y56.0,"AGENTI TOPICI ATTIVI PRINCIPALMENTE SULLA CUTE E SULLE MUCOSE, FARMACI AD USO OFTALMOLOGICO, OTORINOLARINGOLOGICO ED ODONTOIATRICO - FARMACI ANTIMICOTICI, ANTIINFETTIVI E ANTIINFIAMMATORI LOCALI NON CLASSIFICATI ALTROVE"
Y56.1,"AGENTI TOPICI ATTIVI PRINCIPALMENTE SULLA CUTE E SULLE MUCOSE, FARMACI AD USO OFTALMOLOGICO, OTORINOLARINGOLOGICO ED ODONTOIATRICO - ANTIPRURIGINOSI"
Y56.2,"AGENTI TOPICI ATTIVI PRINCIPALMENTE SULLA CUTE E SULLE MUCOSE, FARMACI AD USO OFTALMOLOGICO, OTORINOLARINGOLOGICO ED ODONTOIATRICO - ASTRINGENTI E DETERGENTI LOCALI"
Y56.3,"AGENTI TOPICI ATTIVI PRINCIPALMENTE SULLA CUTE E SULLE MUCOSE, FARMACI AD USO OFTALMOLOGICO, OTORINOLARINGOLOGICO ED ODONTOIATRICO - EMOLLIENTI, LENITIVI E PROTETTIVI"
Y56.4,"AGENTI TOPICI ATTIVI PRINCIPALMENTE SULLA CUTE E SULLE MUCOSE, FARMACI AD USO OFTALMOLOGICO, OTORINOLARINGOLOGICO ED ODONTOIATRICO - CHERATOLITICI, CHERATOPLASTICI ED ALTRI FARMACI E PREPARATI PER IL TRATTAMENTO DEI CAPELLI O PELI"
Y56.5,"AGENTI TOPICI ATTIVI PRINCIPALMENTE SULLA CUTE E SULLE MUCOSE, FARMACI AD USO OFTALMOLOGICO, OTORINOLARINGOLOGICO ED ODONTOIATRICO - FARMACI E PREPARATI OFTALMOLOGICI"
Y56.6,"AGENTI TOPICI ATTIVI PRINCIPALMENTE SULLA CUTE E SULLE MUCOSE, FARMACI AD USO OFTALMOLOGICO, OTORINOLARINGOLOGICO ED ODONTOIATRICO - FARMACI E PREPARATI OTORINOLARINGOLOGICI"
Y56.7,"AGENTI TOPICI ATTIVI PRINCIPALMENTE SULLA CUTE E SULLE MUCOSE, FARMACI AD USO OFTALMOLOGICO, OTORINOLARINGOLOGICO ED ODONTOIATRICO - FARMACI ODONTOIATRICI AD APPLICAZIONE TOPICA"
Y56.8,"AGENTI TOPICI ATTIVI PRINCIPALMENTE SULLA CUTE E SULLE MUCOSE, FARMACI AD USO OFTALMOLOGICO, OTORINOLARINGOLOGICO ED ODONTOIATRICO - ALTRI AGENTI TOPICI"
Y56.9,"AGENTI TOPICI ATTIVI PRINCIPALMENTE SULLA CUTE E SULLE MUCOSE, FARMACI AD USO OFTALMOLOGICO, OTORINOLARINGOLOGICO ED ODONTOIATRICO - AGENTE TOPICO NON SPECIFICATO"
Y57.0,ALTRI E NON SPECIFICATI FARMACI E MEDICAMENTI - INIBITORI DELL'APPETITO (ANORESSIZZANTI)
Y57.1,ALTRI E NON SPECIFICATI FARMACI E MEDICAMENTI - FARMACI LIPOTROPI
Y57.2,"ALTRI E NON SPECIFICATI FARMACI E MEDICAMENTI - ANTIDOTI ED AGENTI CHELANTI, NON CLASSIFICATI ALTROVE"
Y57.3,ALTRI E NON SPECIFICATI FARMACI E MEDICAMENTI - AVVERSATIVI DELL'ALCOL
Y57.4,ALTRI E NON SPECIFICATI FARMACI E MEDICAMENTI - ECCIPIENTI FARMACEUTICI
Y57.5,ALTRI E NON SPECIFICATI FARMACI E MEDICAMENTI - MEZZI DI CONTRASTO RADIOGRAFICO
Y57.6,ALTRI E NON SPECIFICATI FARMACI E MEDICAMENTI - ALTRI AGENTI DIAGNOSTICI
Y57.7,ALTRI E NON SPECIFICATI FARMACI E MEDICAMENTI - VITAMINE NON CLASSIFICATE ALTROVE
Y57.8,ALTRI E NON SPECIFICATI FARMACI E MEDICAMENTI - ALTRI FARMACI E MEDICAMENTI
Y57.9,"ALTRI E NON SPECIFICATI FARMACI E MEDICAMENTI - FARMACO O MEDICAMENTO, NON SPECIFICATI"
Y58.0,VACCINI BATTERICI - VACCINO BCG
Y58.1,VACCINI BATTERICI - VACCINO ANTITIFICO E PARATIFICO
Y58.2,VACCINI BATTERICI - VACCINO ANTICOLERICO
Y58.3,VACCINI BATTERICI - VACCINO ANTI PESTE
Y58.4,VACCINI BATTERICI - VACCINO ANTITETANICO
Y58.5,VACCINI BATTERICI - VACCINO ANTIDIFTERICO
Y58.6,"VACCINI BATTERICI - VACCINO ANTIPERTOSSE, COMPRESE LE ASSOCIAZIONI CON COMPONENTE ANTIPERTOSSE"
Y58.8,"VACCINI BATTERICI - VACCINI BATTERICI MISTI, TRANNE LE ASSOCIAZIONI CON COMPONENTE ANTIPERTOSSE"
Y58.9,VACCINI BATTERICI - ALTRI E NON SPECIFICATI VACCINI BATTERICI
Y59.0,ALTRI E NON SPECIFICATI VACCINI E SOSTANZE BIOLOGICHE - VACCINI VIRALI
Y59.1,ALTRI E NON SPECIFICATI VACCINI E SOSTANZE BIOLOGICHE - VACCINI RICKETTSIOSICI
Y59.2,ALTRI E NON SPECIFICATI VACCINI E SOSTANZE BIOLOGICHE - VACCINI PROTOZOARI
Y59.3,ALTRI E NON SPECIFICATI VACCINI E SOSTANZE BIOLOGICHE - IMMUNOGLOBULINE
Y59.8,ALTRI E NON SPECIFICATI VACCINI E SOSTANZE BIOLOGICHE - ALTRI VACCINI E SOSTANZE BIOLOGICHE SPECIFICATI
Y59.9,"ALTRI E NON SPECIFICATI VACCINI E SOSTANZE BIOLOGICHE - VACCINO O SOSTANZA BIOLOGICA, NON SPECIFICATI"
Y60.0,"TAGLIO, PUNTURA, PERFORAZIONE O EMORRAGIA NON INTENZIONALI IN CORSO DI ASSISTENZA CHIRURGICA O MEDICA - DURANTE INTERVENTO CHIRURGICO"
Y60.1,"TAGLIO, PUNTURA, PERFORAZIONE O EMORRAGIA NON INTENZIONALI IN CORSO DI ASSISTENZA CHIRURGICA O MEDICA - DURANTE INFUSIONE O TRASFUSIONE"
Y60.2,"TAGLIO, PUNTURA, PERFORAZIONE O EMORRAGIA NON INTENZIONALI IN CORSO DI ASSISTENZA CHIRURGICA O MEDICA - DURANTE NEFRODIALISI OD ALTRA PERFUSIONE"
Y60.3,"TAGLIO, PUNTURA, PERFORAZIONE O EMORRAGIA NON INTENZIONALI IN CORSO DI ASSISTENZA CHIRURGICA O MEDICA - DURANTE INIEZIONE O IMMUNIZZAZIONE"
Y60.4,"TAGLIO, PUNTURA, PERFORAZIONE O EMORRAGIA NON INTENZIONALI IN CORSO DI ASSISTENZA CHIRURGICA O MEDICA - DURANTE ESAME ENDOSCOPICO"
Y60.5,"TAGLIO, PUNTURA, PERFORAZIONE O EMORRAGIA NON INTENZIONALI IN CORSO DI ASSISTENZA CHIRURGICA O MEDICA - DURANTE CATETERIZZAZIONE CARDIACA"
Y60.6,"TAGLIO, PUNTURA, PERFORAZIONE O EMORRAGIA NON INTENZIONALI IN CORSO DI ASSISTENZA CHIRURGICA O MEDICA - DURANTE ASPIRAZIONE, PUNTURA ED ALTRA CATETERIZZAZIONE"
Y60.7,"TAGLIO, PUNTURA, PERFORAZIONE O EMORRAGIA NON INTENZIONALI IN CORSO DI ASSISTENZA CHIRURGICA O MEDICA - DURANTE SOMMINISTRAZIONE DI CLISTERE"
Y60.8,"TAGLIO, PUNTURA, PERFORAZIONE O EMORRAGIA NON INTENZIONALI IN CORSO DI ASSISTENZA CHIRURGICA O MEDICA - DURANTE ALTRA ASSISTENZA CHIRURGICA E MEDICA"
Y60.9,"TAGLIO, PUNTURA, PERFORAZIONE O EMORRAGIA NON INTENZIONALI IN CORSO DI ASSISTENZA CHIRURGICA O MEDICA - DURANTE ASSISTENZA CHIRURGICA E MEDICA NON SPECIFICATA"
Y61.0,CORPO ESTRANEO ACCIDENTALMENTE LASCIATO NEL CORPO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE INTERVENTO CHIRURGICO
Y61.1,CORPO ESTRANEO ACCIDENTALMENTE LASCIATO NEL CORPO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE INFUSIONE O TRASFUSIONE
Y61.2,CORPO ESTRANEO ACCIDENTALMENTE LASCIATO NEL CORPO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE NEFRODIALISI OD ALTRA PERFUSIONE
Y61.3,CORPO ESTRANEO ACCIDENTALMENTE LASCIATO NEL CORPO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE INIEZIONE O IMMUNIZZAZIONE
Y61.4,CORPO ESTRANEO ACCIDENTALMENTE LASCIATO NEL CORPO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE ESAME ENDOSCOPICO
Y61.5,CORPO ESTRANEO ACCIDENTALMENTE LASCIATO NEL CORPO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE CATETERIZZAZIONE CARDIACA
Y61.6,"CORPO ESTRANEO ACCIDENTALMENTE LASCIATO NEL CORPO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE ASPIRAZIONE, PUNTURA ED ALTRA CATETERIZZAZIONE"
Y61.7,CORPO ESTRANEO ACCIDENTALMENTE LASCIATO NEL CORPO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE RIMOZIONE DI CATETERE O MEDICAZIONE
Y61.8,CORPO ESTRANEO ACCIDENTALMENTE LASCIATO NEL CORPO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE ALTRA ASSISTENZA CHIRURGICA E MEDICA
Y61.9,CORPO ESTRANEO ACCIDENTALMENTE LASCIATO NEL CORPO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE ASSISTENZA CHIRURGICA E MEDICA NON SPECIFICATA
Y62.0,INSUFFICIENZA DELLE PRECAUZIONI DI STERILIZZAZIONE IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE INTERVENTO CHIRURGICO
Y62.1,INSUFFICIENZA DELLE PRECAUZIONI DI STERILIZZAZIONE IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE INFUSIONE O TRASFUSIONE
Y62.2,INSUFFICIENZA DELLE PRECAUZIONI DI STERILIZZAZIONE IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE NEFRODIALISI OD ALTRA PERFUSIONE
Y62.3,INSUFFICIENZA DELLE PRECAUZIONI DI STERILIZZAZIONE IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE INIEZIONE O IMMUNIZZAZIONE
Y62.4,INSUFFICIENZA DELLE PRECAUZIONI DI STERILIZZAZIONE IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE ESAME ENDOSCOPICO
Y62.5,INSUFFICIENZA DELLE PRECAUZIONI DI STERILIZZAZIONE IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE CATETERIZZAZIONE CARDIACA
Y62.6,"INSUFFICIENZA DELLE PRECAUZIONI DI STERILIZZAZIONE IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE ASPIRAZIONE, PUNTURA ED ALTRA CATETERIZZAZIONE"
Y62.8,INSUFFICIENZA DELLE PRECAUZIONI DI STERILIZZAZIONE IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE ALTRA ASSISTENZA CHIRURGICA E MEDICA
Y62.9,INSUFFICIENZA DELLE PRECAUZIONI DI STERILIZZAZIONE IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - DURANTE ASSISTENZA CHIRURGICA E MEDICA NON SPECIFICATA
Y63.0,ERRORE DI DOSAGGIO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - ECCESSIVA QUANTITA' DI SANGUE OD ALTRO FLUIDO SOMMINISTRATI DURANTE TRASFUSIONE OD INFUSIONE
Y63.1,ERRORE DI DOSAGGIO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - SCORRETTA DILUIZIONE DI FLUIDO DURANTE INFUSIONE
Y63.2,ERRORE DI DOSAGGIO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - SOVRADOSAGGIO DI RADIAZIONI IN CORSO DI TERAPIA
Y63.3,ERRORE DI DOSAGGIO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - INVOLONTARIA ESPOSIZIONE DEL PAZIENTE A RADIAZIONI DURANTE ASSISTENZA MEDICA
Y63.4,ERRORE DI DOSAGGIO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - ERRORE DI DOSAGGIO IN ELETTROSHOCK O SHOCK INSULINICO
Y63.5,ERRORE DI DOSAGGIO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - INAPPROPRIATA TEMPERATURA DI APPLICAZIONI LOCALI E MEDICAZIONI
Y63.6,"ERRORE DI DOSAGGIO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - MANCATA SOMMINISTRAZIONE DI FARMACO, MEDICAMENTO O SOSTANZA BIOLOGICA NECESSARI"
Y63.8,ERRORE DI DOSAGGIO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - ERRORE DI DOSAGGIO IN CORSO DI ALTRA ASSISTENZA CHIRURGICA E MEDICA
Y63.9,ERRORE DI DOSAGGIO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - ERRORE DI DOSAGGIO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA NON SPECIFICATA
Y64.0,"SOSTANZE MEDICHE O BIOLOGICHE CONTAMINATE - SOSTANZA MEDICA O BIOLOGICA CONTAMINATA, TRASFUSA O INFUSA"
Y64.1,"SOSTANZE MEDICHE O BIOLOGICHE CONTAMINATE - SOSTANZA MEDICA O BIOLOGICA CONTAMINATA, INIETTATA O UTILIZZATA PER IMMUNIZZAZIONE"
Y64.8,SOSTANZE MEDICHE O BIOLOGICHE CONTAMINATE - SOSTANZA MEDICA O BIOLOGICA CONTAMINATA SOMMINISTRATA CON ALTRI MEZZI
Y64.9,SOSTANZE MEDICHE O BIOLOGICHE CONTAMINATE - SOSTANZA MEDICA O BIOLOGICA CONTAMINATA SOMMINISTRATA CON MEZZI NON SPECIFICATI
Y65.0,ALTRI INFORTUNI IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - UTILIZZO DI SANGUE INCOMPATIBILE IN TRASFUSIONE
Y65.1,ALTRI INFORTUNI IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - FLUIDO ERRATO IN INFUSIONE
Y65.2,ALTRI INFORTUNI IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - ERRORE IN SUTURA O LEGATURA DURANTE INTERVENTO CHIRURGICO
Y65.3,ALTRI INFORTUNI IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - POSIZIONAMENTO SCORRETTO DI TUBO ENDOTRACHEALE DURANTE INTERVENTO ANESTESIOLOGICO
Y65.4,ALTRI INFORTUNI IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - ERRORE NELLA INTRODUZIONE O RIMOZIONE DI ALTRO TUBO O STRUMENTO
Y65.5,ALTRI INFORTUNI IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - ESECUZIONE DI INTERVENTO INAPPROPRIATO
Y65.8,ALTRI INFORTUNI IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA - ALTRI INFORTUNI SPECIFICATI IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA
Y66,MANCATA SOMMINISTRAZIONE DI ASSISTENZA CHIRURGICA E MEDICA
Y69,INFORTUNIO NON SPECIFICATO IN CORSO DI ASSISTENZA CHIRURGICA E MEDICA
Y70.0,DISPOSITIVI ANESTESIOLOGICI ASSOCIATI CON INCIDENTI AVVERSI - DISPOSITIVI DIAGNOSTICI E PER MONITORAGGIO
Y70.1,DISPOSITIVI ANESTESIOLOGICI ASSOCIATI CON INCIDENTI AVVERSI - DISPOSITIVI TERAPEUTICI (NON CHIRURGICI) E RIABILITATIVI
Y70.2,"DISPOSITIVI ANESTESIOLOGICI ASSOCIATI CON INCIDENTI AVVERSI - PROTESI ED ALTRI IMPIANTI, MATERIALI E DISPOSITIVI ACCESSORI"
Y70.3,"DISPOSITIVI ANESTESIOLOGICI ASSOCIATI CON INCIDENTI AVVERSI - STRUMENTI CHIRURGICI, MATERIALI E DISPOSITIVI (COMPRESE LE SUTURE)"
Y70.8,"DISPOSITIVI ANESTESIOLOGICI ASSOCIATI CON INCIDENTI AVVERSI - DISPOSITIVI MISCELLANEI, NON CLASSIFICATI ALTROVE"
Y71.0,DISPOSITIVI CARDIOLOGICI ASSOCIATI CON INCIDENTI AVVERSI - DISPOSITIVI DIAGNOSTICI E PER MONITORAGGIO
Y71.1,DISPOSITIVI CARDIOLOGICI ASSOCIATI CON INCIDENTI AVVERSI - DISPOSITIVI TERAPEUTICI (NON CHIRURGICI) E RIABILITATIVI
Y71.2,"DISPOSITIVI CARDIOLOGICI ASSOCIATI CON INCIDENTI AVVERSI - PROTESI ED ALTRI IMPIANTI, MATERIALI E DISPOSITIVI ACCESSORI"
Y71.3,"DISPOSITIVI CARDIOLOGICI ASSOCIATI CON INCIDENTI AVVERSI - STRUMENTI CHIRURGICI, MATERIALI E DISPOSITIVI (COMPRESE LE SUTURE)"
Y71.8,"DISPOSITIVI CARDIOLOGICI ASSOCIATI CON INCIDENTI AVVERSI - DISPOSITIVI MISCELLANEI, NON CLASSIFICATI ALTROVE"
Y72.0,DISPOSITIVI OTORINOLARINGOIATRICI ASSOCIATI CON INCIDENTI AVVERSI - DISPOSITIVI DIAGNOSTICI E PER MONITORAGGIO
Y72.1,DISPOSITIVI OTORINOLARINGOIATRICI ASSOCIATI CON INCIDENTI AVVERSI - DISPOSITIVI TERAPEUTICI (NON CHIRURGICI) E RIABILITATIVI
Y72.2,"DISPOSITIVI OTORINOLARINGOIATRICI ASSOCIATI CON INCIDENTI AVVERSI - PROTESI ED ALTRI IMPIANTI, MATERIALI E DISPOSITIVI ACCESSORI"
Y72.3,"DISPOSITIVI OTORINOLARINGOIATRICI ASSOCIATI CON INCIDENTI AVVERSI - STRUMENTI CHIRURGICI, MATERIALI E DISPOSITIVI (COMPRESE LE SUTURE)"
Y72.8,"DISPOSITIVI OTORINOLARINGOIATRICI ASSOCIATI CON INCIDENTI AVVERSI - DISPOSITIVI MISCELLANEI, NON CLASSIFICATI ALTROVE"
Y73.0,DISPOSITIVI GASTROENTEROLOGICI E UROLOGICI ASSOCIATI CON INCIDENTI AVVERSI - DISPOSITIVI DIAGNOSTICI E PER MONITORAGGIO
